date,event,split,bin_count,raw_mass,max_candle_age,mean_spread,mos_forecast,market,candidate,raw,uniform,gain
2025-09-11,KXHIGHMIA-25SEP11,train,6,1.0650000000000002,780,0.04166666666666666,92.0,0.20007787990331138,0.09799789206030184,0.20542916666666666,0.13888888888888892,0.10207998784300955
2025-09-12,KXHIGHMIA-25SEP12,train,6,1.08,780,0.04000000000000001,89.0,0.13844593049839962,0.0960346289801507,0.13988333333333333,0.13888888888888892,0.04241130151824893
2025-09-13,KXHIGHMIA-25SEP13,train,6,1.0150000000000001,120,0.10833333333333335,86.0,0.19864592686063723,0.20020653230113872,0.19981250000000003,0.13888888888888892,-0.001560605440501489
2025-09-14,KXHIGHMIA-25SEP14,train,6,1.085,240,0.03499999999999999,90.0,0.10502098862437793,0.0818586828599314,0.10387083333333334,0.13888888888888892,0.023162305764446528
2025-09-15,KXHIGHMIA-25SEP15,train,6,1.065,900,0.03166666666666667,90.0,0.09916462782957526,0.13592699902294544,0.09779583333333332,0.13888888888888892,-0.03676237119337018
2025-09-16,KXHIGHMIA-25SEP16,train,6,1.075,840,0.03833333333333332,90.0,0.19053903010636378,0.14072464580667085,0.1961291666666667,0.13888888888888892,0.049814384299692926
2025-09-17,KXHIGHMIA-25SEP17,train,6,1.05,840,0.043333333333333335,86.0,0.08937263794406651,0.10210030474985131,0.08794999999999999,0.13888888888888892,-0.012727666805784799
2025-09-18,KXHIGHMIA-25SEP18,train,6,1.025,240,0.035,86.0,0.13542732500495738,0.09715027910157432,0.13592916666666666,0.13888888888888892,0.03827704590338306
2025-09-19,KXHIGHMIA-25SEP19,train,6,1.05,240,0.03333333333333333,90.0,0.15266817838246408,0.1261238733521206,0.15431666666666666,0.13888888888888892,0.026544305030343468
2025-09-20,KXHIGHMIA-25SEP20,train,6,1.04,840,0.04666666666666667,91.0,0.08747072238658778,0.12384018579150469,0.08634166666666666,0.13888888888888892,-0.03636946340491691
2025-09-21,KXHIGHMIA-25SEP21,train,6,1.0550000000000002,540,0.044999999999999984,90.0,0.14394705120430062,0.17478414528043437,0.14541250000000003,0.13888888888888892,-0.030837094076133748
2025-09-22,KXHIGHMIA-25SEP22,train,6,1.085,240,0.034999999999999996,89.0,0.16090098890752974,0.10630930087293196,0.16483749999999997,0.13888888888888892,0.05459168803459778
2025-09-23,KXHIGHMIA-25SEP23,train,6,1.055,240,0.041666666666666664,91.0,0.08359351017871718,0.13598248906054125,0.0818125,0.13888888888888892,-0.052388978881824075
2025-09-24,KXHIGHMIA-25SEP24,train,6,1.0450000000000002,840,0.041666666666666664,91.0,0.13249086177819494,0.1691899292216421,0.13317083333333335,0.13888888888888892,-0.03669906744344717
2025-09-25,KXHIGHMIA-25SEP25,train,6,1.045,240,0.021666666666666664,92.0,0.10996390497775538,0.10615530808088698,0.10992083333333334,0.13888888888888892,0.0038085968968683964
2025-09-26,KXHIGHMIA-25SEP26,train,6,1.085,240,0.041666666666666664,92.0,0.07858877161686735,0.1379400886795761,0.07587083333333333,0.13888888888888892,-0.059351317062708756
2025-09-27,KXHIGHMIA-25SEP27,train,6,1.075,240,0.034999999999999996,92.0,0.10955831981251125,0.10544203314881641,0.10954583333333334,0.13888888888888892,0.004116286663694846
